track_id,track_name,artists,genre,tempo,energy,valence,danceability
track_80,Song 80,Artist 58,Metal,154.4,0.97,0.2,0.49
track_81,Song 81,Artist 80,Pop,73.7,0.45,0.64,0.56
track_82,Song 82,Artist 43,Indie,95.6,0.18,0.83,0.07
track_83,Song 83,Artist 82,Jazz,70.8,0.41,0.69,0.8
track_84,Song 84,Artist 86,Hip-Hop,102.1,0.34,0.15,0.08
track_85,Song 85,Artist 49,Jazz,95.2,0.25,0.3,0.47
track_86,Song 86,Artist 95,Hip-Hop,120.2,0.6,0.87,0.9
track_87,Song 87,Artist 67,EDM,101.1,0.68,0.76,0.97
track_88,Song 88,Artist 14,Rock,125.7,0.84,0.86,0.43
track_89,Song 89,Artist 75,Classical,60.0,0.24,0.73,0.64
track_90,Song 90,Artist 46,Classical,60.0,0.37,0.24,0.5
track_91,Song 91,Artist 99,Rock,107.3,0.89,0.66,0.86
track_92,Song 92,Artist 27,Classical,101.0,0.14,0.49,0.17
track_93,Song 93,Artist 62,Jazz,129.7,0.32,0.46,0.16
track_94,Song 94,Artist 56,Metal,93.1,0.74,0.39,0.07
track_95,Song 95,Artist 81,Metal,131.8,0.67,0.46,0.52
track_96,Song 96,Artist 14,Pop,123.1,0.58,0.08,0.19
track_97,Song 97,Artist 90,Classical,60.0,0.2,0.02,0.04
track_98,Song 98,Artist 99,Pop,114.3,0.48,0.67,0.65
track_99,Song 99,Artist 85,Rock,135.6,0.4,0.96,0.18
track_100,Song 100,Artist 68,Metal,90.6,0.81,0.74,0.46
track_101,Song 101,Artist 67,Rock,121.9,0.81,0.05,0.81
track_102,Song 102,Artist 79,Indie,86.9,0.16,0.37,0.72
track_103,Song 103,Artist 47,Indie,71.1,0.48,0.51,0.34
track_104,Song 104,Artist 44,Metal,121.8,0.94,0.81,0.07
track_105,Song 105,Artist 17,Classical,70.1,0.07,0.24,0.78
track_106,Song 106,Artist 9,Pop,110.5,0.29,0.99,0.88
track_107,Song 107,Artist 44,Hip-Hop,101.8,0.37,0.63,0.3
track_108,Song 108,Artist 25,Indie,92.2,0.38,0.82,0.24
track_109,Song 109,Artist 83,Pop,77.5,0.52,0.84,0.53
track_110,Song 110,Artist 28,Indie,80.3,0.65,0.55,0.62
track_111,Song 111,Artist 25,Hip-Hop,91.9,0.84,0.37,0.61
track_112,Song 112,Artist 1,Indie,67.1,0.41,0.09,0.76
track_113,Song 113,Artist 28,Indie,72.5,0.54,0.39,0.14
track_114,Song 114,Artist 64,Rock,135.3,0.8,0.06,0.5
track_115,Song 115,Artist 6,Indie,60.0,0.01,0.98,0.02
track_116,Song 116,Artist 66,Pop,119.1,0.49,0.06,0.63
track_117,Song 117,Artist 93,Rock,142.0,0.68,0.14,0.42
track_118,Song 118,Artist 14,EDM,105.3,0.68,0.18,0.98
track_119,Song 119,Artist 58,EDM,129.4,0.42,0.96,0.99
track_120,Song 120,Artist 87,Classical,117.6,0.51,0.53,0.35
track_121,Song 121,Artist 66,EDM,140.6,0.67,0.14,0.97
track_122,Song 122,Artist 17,Jazz,110.2,0.42,0.78,0.61
track_123,Song 123,Artist 53,Classical,100.0,0.09,0.1,0.73
track_124,Song 124,Artist 86,Pop,85.8,0.33,0.62,0.81
track_125,Song 125,Artist 81,Indie,78.3,0.38,0.86,0.86
track_126,Song 126,Artist 33,Metal,125.9,0.61,0.83,0.59
track_127,Song 127,Artist 59,Metal,135.2,0.89,0.52,0.25
track_128,Song 128,Artist 93,Rock,116.0,0.69,0.74,0.91
track_129,Song 129,Artist 75,Hip-Hop,113.1,0.81,0.36,0.27
track_130,Song 130,Artist 92,Pop,120.0,0.73,0.25,0.32
track_131,Song 131,Artist 7,Hip-Hop,90.5,0.5,0.91,0.66
track_132,Song 132,Artist 49,Indie,109.2,0.09,0.26,0.81
track_133,Song 133,Artist 3,Pop,120.1,0.28,0.35,0.59
track_134,Song 134,Artist 6,Jazz,67.2,0.23,0.11,0.42
track_135,Song 135,Artist 91,Indie,83.8,0.53,0.22,0.32
track_136,Song 136,Artist 93,Metal,140.5,0.45,0.82,0.38
track_137,Song 137,Artist 93,Metal,138.3,0.51,0.32,0.58
track_138,Song 138,Artist 15,Classical,105.1,0.65,0.92,0.17
track_139,Song 139,Artist 16,Jazz,79.5,0.24,0.47,0.54
track_140,Song 140,Artist 41,Classical,65.5,0.4,0.48,0.32
track_141,Song 141,Artist 58,Metal,114.1,0.97,0.19,0.66
track_142,Song 142,Artist 64,Indie,78.5,0.4,0.26,0.99
track_143,Song 143,Artist 10,Classical,106.7,0.36,0.44,0.39
track_144,Song 144,Artist 22,Hip-Hop,120.7,0.49,0.49,0.88
track_145,Song 145,Artist 46,Indie,88.8,0.39,0.32,0.84
track_146,Song 146,Artist 40,Classical,60.0,0.22,0.55,0.33
track_147,Song 147,Artist 69,Metal,108.0,0.52,0.09,0.32
track_148,Song 148,Artist 80,Pop,104.7,0.53,0.2,0.71
track_149,Song 149,Artist 27,Classical,75.7,0.61,0.31,0.57
track_150,Song 150,Artist 69,EDM,107.7,0.44,0.67,0.64
track_151,Song 151,Artist 99,Jazz,80.5,0.16,0.86,0.46
track_152,Song 152,Artist 49,Classical,99.6,0.35,0.7,0.45
track_153,Song 153,Artist 100,Rock,91.2,0.76,0.85,0.97
track_154,Song 154,Artist 49,Indie,74.5,0.29,0.15,0.72
track_155,Song 155,Artist 53,Rock,125.2,0.52,0.77,0.61
track_156,Song 156,Artist 8,Hip-Hop,98.1,0.53,0.23,0.59
track_157,Song 157,Artist 74,Classical,108.9,0.18,0.97,0.08
track_158,Song 158,Artist 16,Indie,110.2,0.38,0.96,0.5
track_159,Song 159,Artist 44,EDM,131.6,0.79,0.79,0.96
track_160,Song 160,Artist 73,Hip-Hop,60.0,0.45,0.31,0.87
track_161,Song 161,Artist 87,Metal,142.0,0.92,0.9,0.63
track_162,Song 162,Artist 37,Hip-Hop,88.7,0.57,0.05,1.0
track_163,Song 163,Artist 81,Jazz,67.5,0.28,0.8,0.02
track_164,Song 164,Artist 7,Hip-Hop,110.9,0.67,0.78,0.5
track_165,Song 165,Artist 71,Jazz,93.5,0.47,0.45,0.92
track_166,Song 166,Artist 28,Pop,150.1,0.77,0.31,0.14
track_167,Song 167,Artist 37,EDM,111.2,0.67,0.9,0.51
track_168,Song 168,Artist 19,Classical,60.0,0.12,0.0,0.3
track_169,Song 169,Artist 40,Pop,66.2,0.44,0.79,0.1
track_170,Song 170,Artist 57,EDM,95.7,0.88,0.58,0.76
track_171,Song 171,Artist 75,Classical,60.0,0.35,0.69,0.13
track_172,Song 172,Artist 47,Hip-Hop,96.1,0.59,0.8,0.19
track_173,Song 173,Artist 11,EDM,127.6,0.69,0.71,0.32
track_174,Song 174,Artist 77,Rock,135.3,0.73,0.21,0.0
track_175,Song 175,Artist 45,Classical,112.4,0.36,0.99,0.66
track_176,Song 176,Artist 91,Hip-Hop,88.5,0.39,0.73,0.5
track_177,Song 177,Artist 60,Hip-Hop,81.1,0.35,0.66,0.82
track_178,Song 178,Artist 42,Hip-Hop,84.0,0.39,0.72,0.44
track_179,Song 179,Artist 40,Pop,114.7,0.7,0.88,0.25
track_180,Song 180,Artist 94,EDM,97.1,0.63,0.74,0.15
track_181,Song 181,Artist 96,EDM,102.3,0.89,0.65,0.26
track_182,Song 182,Artist 54,Indie,60.0,0.0,0.4,0.4
track_183,Song 183,Artist 64,Classical,97.0,0.5,0.09,0.19
track_184,Song 184,Artist 98,Hip-Hop,124.1,0.6,0.81,0.64
track_185,Song 185,Artist 83,Hip-Hop,100.7,0.67,0.53,0.45
track_186,Song 186,Artist 22,Indie,85.0,0.4,0.41,0.23
track_187,Song 187,Artist 55,EDM,141.4,0.63,0.08,0.87
track_188,Song 188,Artist 24,Hip-Hop,95.8,0.54,0.45,0.62
track_189,Song 189,Artist 14,EDM,106.2,0.74,0.48,0.13
track_190,Song 190,Artist 18,Rock,135.7,0.54,0.82,0.25
track_191,Song 191,Artist 31,Indie,86.7,0.37,0.24,0.44
track_192,Song 192,Artist 54,Classical,69.7,0.29,0.1,0.9
track_193,Song 193,Artist 62,Jazz,126.1,0.37,0.29,0.71
track_194,Song 194,Artist 75,Metal,138.2,0.65,0.35,0.59
track_195,Song 195,Artist 29,Rock,128.4,0.83,0.34,0.5
track_196,Song 196,Artist 86,Rock,128.1,0.54,0.22,0.61
track_197,Song 197,Artist 90,Pop,110.4,0.43,0.07,0.27
track_198,Song 198,Artist 79,Hip-Hop,82.3,0.66,0.54,0.72
track_199,Song 199,Artist 60,Classical,107.3,0.4,0.53,0.71
track_200,Song 200,Artist 58,Pop,114.0,0.68,0.71,0.9
track_201,Song 201,Artist 72,Hip-Hop,85.1,0.35,0.74,0.98
track_202,Song 202,Artist 87,EDM,156.5,0.87,0.31,0.26
track_203,Song 203,Artist 5,Classical,68.8,0.41,0.99,0.54
track_204,Song 204,Artist 75,Hip-Hop,112.1,0.58,0.38,0.6
track_205,Song 205,Artist 21,Hip-Hop,100.3,0.64,0.4,0.81
track_206,Song 206,Artist 45,Metal,165.8,0.77,0.5,0.14
track_207,Song 207,Artist 28,Classical,92.8,0.38,0.04,0.64
track_208,Song 208,Artist 92,Pop,99.0,0.37,0.49,0.49
track_209,Song 209,Artist 87,Indie,91.2,0.59,0.8,0.11
track_210,Song 210,Artist 62,Classical,60.0,0.2,0.04,0.94
track_211,Song 211,Artist 58,Rock,142.2,0.88,0.9,0.03
track_212,Song 212,Artist 16,EDM,112.2,0.64,0.64,0.67
track_213,Song 213,Artist 53,Jazz,70.4,0.37,0.74,0.14
track_214,Song 214,Artist 75,Classical,68.8,0.16,0.94,0.04
track_215,Song 215,Artist 20,Rock,83.3,0.71,0.22,0.46
track_216,Song 216,Artist 17,Metal,109.8,0.52,0.11,0.69
track_217,Song 217,Artist 52,Rock,109.6,0.78,0.99,0.18
track_218,Song 218,Artist 97,Jazz,60.0,0.22,0.61,0.23
track_219,Song 219,Artist 94,Jazz,93.3,0.22,0.47,0.5
track_220,Song 220,Artist 28,EDM,112.3,0.76,0.52,0.03
track_221,Song 221,Artist 31,Classical,114.7,0.24,0.02,0.65
track_222,Song 222,Artist 80,Rock,136.8,0.58,0.97,0.23
track_223,Song 223,Artist 70,Classical,80.0,0.47,0.2,0.56
track_224,Song 224,Artist 38,Rock,112.3,0.56,0.01,0.91
track_225,Song 225,Artist 67,Metal,119.6,0.67,0.86,0.77
track_226,Song 226,Artist 42,EDM,118.2,0.72,0.74,0.74
track_227,Song 227,Artist 58,Rock,102.7,0.67,0.91,0.25
track_228,Song 228,Artist 58,Metal,92.0,0.63,0.29,0.94
track_229,Song 229,Artist 11,EDM,114.3,0.63,0.15,0.08
track_230,Song 230,Artist 33,Indie,77.6,0.37,0.28,0.43
track_231,Song 231,Artist 2,Rock,90.9,0.57,0.73,0.92
track_232,Song 232,Artist 16,Classical,98.2,0.23,0.31,0.57
track_233,Song 233,Artist 55,Rock,132.7,0.77,0.06,0.75
track_234,Song 234,Artist 13,Rock,130.2,0.68,0.04,0.01
track_235,Song 235,Artist 95,Indie,74.0,0.18,0.69,0.37
track_236,Song 236,Artist 7,Rock,135.2,0.82,0.74,0.93
track_237,Song 237,Artist 67,Indie,113.7,0.45,0.31,0.04
track_238,Song 238,Artist 65,EDM,132.2,0.75,0.13,0.85
track_239,Song 239,Artist 80,Hip-Hop,93.3,0.49,0.75,0.36
track_240,Song 240,Artist 24,Classical,112.8,0.53,0.24,0.02
track_241,Song 241,Artist 79,Metal,104.9,0.49,0.97,0.39
track_242,Song 242,Artist 26,Metal,93.9,0.87,0.82,0.79
track_243,Song 243,Artist 86,Rock,100.5,0.68,0.14,0.65
track_244,Song 244,Artist 5,Hip-Hop,122.9,0.51,0.25,0.99
track_245,Song 245,Artist 99,Indie,82.3,0.25,0.67,0.08
track_246,Song 246,Artist 7,Jazz,66.7,0.24,0.52,0.54
track_247,Song 247,Artist 87,Jazz,67.1,0.4,0.96,0.95
track_248,Song 248,Artist 64,Jazz,80.8,0.21,0.46,0.07
track_249,Song 249,Artist 89,EDM,127.1,0.8,0.39,0.68
track_250,Song 250,Artist 61,Classical,79.0,0.0,0.58,0.83
track_251,Song 251,Artist 24,Metal,104.7,0.71,0.61,0.45
track_252,Song 252,Artist 32,Pop,88.7,0.52,0.87,0.35
track_253,Song 253,Artist 52,Hip-Hop,119.3,0.6,0.93,0.98
track_254,Song 254,Artist 17,EDM,144.8,0.92,0.36,0.79
track_255,Song 255,Artist 7,Indie,80.8,0.23,0.16,0.32
track_256,Song 256,Artist 24,Indie,60.0,0.32,0.08,0.63
track_257,Song 257,Artist 33,Pop,113.5,0.67,0.68,0.95
track_258,Song 258,Artist 91,Classical,77.4,0.07,0.46,0.63
track_259,Song 259,Artist 87,Jazz,70.3,0.04,0.68,0.4
track_260,Song 260,Artist 75,Rock,132.8,0.89,0.27,0.5
track_261,Song 261,Artist 21,EDM,137.6,0.63,0.76,0.18
track_262,Song 262,Artist 46,Metal,124.7,0.48,0.51,0.42
track_263,Song 263,Artist 76,EDM,107.4,0.59,0.7,0.36
track_264,Song 264,Artist 43,Hip-Hop,90.5,0.48,0.27,0.48
track_265,Song 265,Artist 53,EDM,136.5,1.0,0.53,0.99
track_266,Song 266,Artist 10,Pop,84.1,0.49,0.26,0.75
track_267,Song 267,Artist 55,Jazz,60.0,0.14,0.56,0.29
track_268,Song 268,Artist 85,Pop,132.2,0.58,0.04,0.36
track_269,Song 269,Artist 67,Metal,114.4,0.63,0.31,0.71
track_270,Song 270,Artist 12,EDM,134.9,0.46,0.66,0.45
track_271,Song 271,Artist 16,Indie,69.6,0.38,0.23,0.51
track_272,Song 272,Artist 4,Metal,158.0,0.73,0.12,0.37
track_273,Song 273,Artist 79,Pop,99.3,0.41,0.1,0.67
track_274,Song 274,Artist 75,EDM,90.4,0.42,0.4,0.15
track_275,Song 275,Artist 76,Rock,150.2,0.5,0.25,0.15
track_276,Song 276,Artist 5,Hip-Hop,92.1,0.47,0.73,0.64
track_277,Song 277,Artist 88,Classical,85.4,0.32,0.06,0.18
track_278,Song 278,Artist 87,Classical,66.2,0.21,0.45,0.54
track_279,Song 279,Artist 53,Pop,91.2,0.59,0.01,0.82
track_280,Song 280,Artist 67,Pop,107.9,0.36,0.88,0.93
track_281,Song 281,Artist 25,Rock,130.6,0.77,0.15,0.25
track_282,Song 282,Artist 40,Pop,60.0,0.4,0.22,0.42
track_283,Song 283,Artist 57,Metal,103.0,0.7,0.57,0.32
track_284,Song 284,Artist 56,EDM,116.0,0.67,0.59,0.64
track_285,Song 285,Artist 16,Indie,71.6,0.3,0.3,0.89
track_286,Song 286,Artist 15,Classical,73.0,0.22,0.69,0.89
track_287,Song 287,Artist 83,Pop,96.8,0.54,0.14,0.48
track_288,Song 288,Artist 19,Indie,60.0,0.31,0.32,0.25
track_289,Song 289,Artist 66,Jazz,66.2,0.26,0.59,0.37
track_290,Song 290,Artist 93,Pop,90.3,0.52,0.7,0.23
track_291,Song 291,Artist 28,Classical,70.4,0.39,0.06,0.26
track_292,Song 292,Artist 96,Jazz,103.0,0.34,0.14,0.02
track_293,Song 293,Artist 71,Metal,115.0,0.84,0.7,0.83
track_294,Song 294,Artist 59,Metal,104.4,0.86,0.9,0.05
track_295,Song 295,Artist 19,Metal,161.3,0.61,0.05,0.02
track_296,Song 296,Artist 94,Hip-Hop,84.5,0.65,0.44,0.59
track_297,Song 297,Artist 82,Hip-Hop,111.0,0.82,0.38,0.01
track_298,Song 298,Artist 60,Metal,122.2,0.45,0.87,0.25
track_299,Song 299,Artist 26,Rock,117.5,0.68,0.08,0.68
track_300,Song 300,Artist 88,EDM,115.5,0.46,0.9,0.26
track_301,Song 301,Artist 30,Indie,81.0,0.2,0.21,0.63
track_302,Song 302,Artist 3,Metal,157.3,0.67,0.97,0.91
track_303,Song 303,Artist 52,Rock,85.9,0.82,0.86,0.88
track_304,Song 304,Artist 95,Rock,153.5,0.77,0.7,0.68
track_305,Song 305,Artist 17,Rock,82.1,0.67,0.27,0.54
track_306,Song 306,Artist 73,Metal,83.6,0.79,0.92,0.86
track_307,Song 307,Artist 84,EDM,165.8,0.97,0.8,0.56
track_308,Song 308,Artist 68,Metal,112.1,0.67,0.64,0.04
track_309,Song 309,Artist 78,Rock,145.9,0.72,0.16,0.73
track_310,Song 310,Artist 56,Rock,114.7,0.91,0.63,0.84
track_311,Song 311,Artist 70,Indie,79.7,0.22,0.72,0.3
track_312,Song 312,Artist 25,Pop,95.2,0.67,0.98,0.55
track_313,Song 313,Artist 2,Metal,128.1,0.44,0.55,0.2
track_314,Song 314,Artist 29,Jazz,104.2,0.32,0.66,0.1
track_315,Song 315,Artist 14,EDM,139.5,0.64,0.9,0.37
track_316,Song 316,Artist 57,Classical,70.4,0.45,0.72,0.14
track_317,Song 317,Artist 22,Pop,144.1,0.53,0.31,0.75
track_318,Song 318,Artist 95,EDM,121.9,0.42,0.75,0.56
track_319,Song 319,Artist 29,EDM,117.8,0.77,0.06,0.41
track_320,Song 320,Artist 52,Pop,93.1,0.56,0.38,0.55
track_321,Song 321,Artist 100,Jazz,85.6,0.39,0.35,0.47
track_322,Song 322,Artist 65,Metal,86.4,0.64,0.95,0.15
track_323,Song 323,Artist 41,Indie,80.2,0.24,0.05,0.99
track_324,Song 324,Artist 78,Indie,60.0,0.22,0.99,0.48
track_325,Song 325,Artist 72,Hip-Hop,113.9,0.48,0.07,0.46
track_326,Song 326,Artist 99,EDM,106.9,0.44,0.41,0.99
track_327,Song 327,Artist 30,Pop,118.3,0.41,0.18,0.51
track_328,Song 328,Artist 58,Pop,79.4,0.44,0.85,0.51
track_329,Song 329,Artist 32,Metal,95.9,0.63,0.79,0.64
track_330,Song 330,Artist 60,Indie,87.2,0.39,0.06,0.8
track_331,Song 331,Artist 46,Indie,90.7,0.14,0.18,0.51
track_332,Song 332,Artist 52,Indie,60.0,0.47,0.81,0.51
track_333,Song 333,Artist 71,Rock,143.2,0.65,0.96,0.33
track_334,Song 334,Artist 17,Jazz,71.9,0.63,0.71,0.43
track_335,Song 335,Artist 86,Hip-Hop,126.8,0.73,0.01,0.42
track_336,Song 336,Artist 77,EDM,94.4,0.62,0.36,0.09
track_337,Song 337,Artist 81,Jazz,86.5,0.35,0.47,0.3
track_338,Song 338,Artist 78,Rock,127.2,0.71,0.87,0.24
track_339,Song 339,Artist 94,Rock,81.2,0.59,0.4,0.12
track_340,Song 340,Artist 54,Hip-Hop,90.7,0.43,0.28,0.3
track_341,Song 341,Artist 98,Classical,98.2,0.4,0.03,0.26
track_342,Song 342,Artist 21,Classical,60.0,0.43,0.79,0.62
track_343,Song 343,Artist 56,Indie,81.0,0.58,0.2,0.43
track_344,Song 344,Artist 41,Indie,86.5,0.2,0.74,0.25
track_345,Song 345,Artist 84,Hip-Hop,90.7,0.54,0.1,0.4
track_346,Song 346,Artist 37,Pop,120.4,0.51,0.91,0.07
track_347,Song 347,Artist 100,EDM,110.3,0.76,0.22,0.69
track_348,Song 348,Artist 16,EDM,125.9,0.54,0.2,0.36
track_349,Song 349,Artist 38,Classical,68.9,0.31,0.47,0.99
track_350,Song 350,Artist 37,Metal,119.0,1.0,0.98,0.16
track_351,Song 351,Artist 60,Hip-Hop,99.2,0.48,0.12,0.91
track_352,Song 352,Artist 53,Hip-Hop,110.8,0.35,0.49,0.46
track_353,Song 353,Artist 37,Hip-Hop,60.0,0.37,0.71,0.25
track_354,Song 354,Artist 67,Indie,89.5,0.38,0.99,0.6
track_355,Song 355,Artist 93,Rock,135.8,0.77,0.78,0.79
track_356,Song 356,Artist 91,Jazz,84.2,0.35,0.87,0.9
track_357,Song 357,Artist 1,Classical,74.8,0.0,0.49,0.25
track_358,Song 358,Artist 80,Indie,120.9,0.14,0.68,0.93
track_359,Song 359,Artist 85,Hip-Hop,90.5,0.5,0.09,0.02
track_360,Song 360,Artist 88,Hip-Hop,118.9,0.47,0.48,0.76
track_361,Song 361,Artist 92,Classical,60.0,0.51,0.96,0.16
track_362,Song 362,Artist 21,Hip-Hop,134.7,0.32,0.31,0.8
track_363,Song 363,Artist 16,Metal,126.4,0.79,0.06,0.68
track_364,Song 364,Artist 69,Classical,78.7,0.5,0.55,0.49
track_365,Song 365,Artist 72,Rock,108.6,0.98,0.14,0.12
track_366,Song 366,Artist 53,Indie,107.4,0.26,0.64,0.97
track_367,Song 367,Artist 58,Hip-Hop,91.8,0.36,0.86,0.29
track_368,Song 368,Artist 7,Jazz,107.1,0.05,0.18,0.72
track_369,Song 369,Artist 36,Rock,100.6,0.75,0.7,0.73
track_370,Song 370,Artist 51,Pop,117.7,0.56,0.83,0.2
track_371,Song 371,Artist 54,Rock,172.6,0.51,0.95,0.44
track_372,Song 372,Artist 73,Indie,95.0,0.12,0.11,0.27
track_373,Song 373,Artist 82,Rock,141.8,0.8,0.95,0.28
track_374,Song 374,Artist 3,Indie,80.8,0.49,0.96,0.86
track_375,Song 375,Artist 7,Metal,87.0,0.63,0.31,0.92
track_376,Song 376,Artist 23,Pop,139.6,0.79,0.32,0.07
track_377,Song 377,Artist 48,Hip-Hop,84.8,0.67,0.67,0.86
track_378,Song 378,Artist 44,Classical,120.9,0.16,0.67,0.6
track_379,Song 379,Artist 45,Rock,119.7,0.7,0.35,0.55
track_380,Song 380,Artist 53,Jazz,76.4,0.22,0.35,0.01
track_381,Song 381,Artist 13,Metal,107.3,0.51,0.13,0.06
track_382,Song 382,Artist 9,Rock,94.3,0.59,0.29,0.08
track_383,Song 383,Artist 71,EDM,152.2,0.61,0.85,0.1
track_384,Song 384,Artist 31,Classical,68.9,0.19,0.37,0.2
track_385,Song 385,Artist 32,Classical,116.5,0.32,0.63,0.67
track_386,Song 386,Artist 90,Indie,115.3,0.34,0.52,0.58
track_387,Song 387,Artist 94,Metal,94.9,0.77,0.1,0.45
track_388,Song 388,Artist 25,Rock,141.3,0.58,0.57,0.79
track_389,Song 389,Artist 26,Indie,60.0,0.39,0.86,0.62
track_390,Song 390,Artist 9,Classical,92.0,0.36,0.57,0.47
